name,pub_date,city,salary,require
Python算法工程师,10-11,上海-浦东新区,2-3万/月,上海-浦东新区|3-4年经验|本科|招2人|10-11发布|英语熟练|数学与应用数学 信息与计算科学
Python开发工程师（编号 02）,10-11,上海-浦东新区,0.9-1.1万/月,上海-浦东新区|2年经验|本科|招1人|10-11发布
Python高级开发工程师,10-11,上海-闵行区,1.5-3万/月,上海-闵行区|5-7年经验|大专|招1人|10-11发布
Python算法工程师,10-11,上海-静安区,1.5-2万/月,上海-静安区|2年经验|本科|招5人|10-11发布
python 爬虫工程师,10-11,上海-杨浦区,1-1.5万/月,上海-杨浦区|3-4年经验|本科|招2人|10-11发布
Python开发工程师,10-11,上海-浦东新区,1-1.5万/月,上海-浦东新区|无工作经验|招若干人|10-11发布
Python数据分析师,10-11,上海-闵行区,0.8-1万/月,上海-闵行区|无工作经验|本科|招2人|10-11发布
大数据研发工程师,10-11,上海,,上海|无工作经验|硕士|招1人|10-11发布|英语良好
Python开发工程师,10-11,上海-浦东新区,1-1.5万/月,上海-浦东新区|3-4年经验|大专|招3人|10-11发布
Python研发工程师（上海）,10-11,上海,1-1.5万/月,上海|无工作经验|本科|招若干人|10-11发布
Python数据工程师,10-11,上海-徐汇区,1.2-2.2万/月,上海-徐汇区|3-4年经验|本科|招若干人|10-11发布
软件测试（C、Python）工程师,10-11,上海,,上海|无工作经验|本科|招9人|10-11发布
python开发工程师/大数据建模,10-11,上海-黄浦区,6-8千/月,上海-黄浦区|无工作经验|硕士|招2人|10-11发布|计算机科学与技术 软件工程
Python算法工程师,10-11,上海-静安区,1-1.5万/月,上海-静安区|2年经验|本科|招2人|10-11发布
Python高级开发工程师,10-11,上海-徐汇区,1-2万/月,上海-徐汇区|2年经验|本科|招2人|10-11发布
Python开发工程师,10-11,上海,,上海|无工作经验|本科|招若干人|10-11发布
Python开发工程师,10-11,上海-浦东新区,0.8-1.3万/月,上海-浦东新区|2年经验|本科|招2人|10-11发布
Scratch/Python课程设计师,10-11,上海-普陀区,0.8-1.5万/月,上海-普陀区|1年经验|本科|招2人|10-11发布
